25352.9,16968.6,0.325
25694.3,16887.3,0.325
25619,16899.2,0.325
25671.2,16898.9,0.325
25626.7,16908.5,0.325
25598.9,16909.4,0.325
25646.3,16920.2,0.325
25612.9,16925.3,0.325
25556.5,16928.1,0.325
25489.7,16937.9,0.325
25636.9,16941.8,0.325
25682.2,16942.4,0.325
25502.6,16944.8,0.325
25563.5,16946.4,0.325
25545.1,16952.5,0.325
25459.8,16971.9,0.325
25398.1,16976.6,0.325
25763.4,16881.2,0.325
25843.5,16893.1,0.325
25845.6,16906.7,0.325
25731.2,16908.1,0.325
25724.3,16920.9,0.325
25454.8,16981.2,0.325
