25332.3,16513.4,-51.823
25245.5,16539.5,-48.9841
25249.6,16550,-48.6982
25253.7,16562.8,-48.3296
25262.1,16588.3,-47.5994
25266.2,16601.1,-47.2339
25270.3,16612.4,-46.9197
24490.9,16666.1,-27.8842
24494.8,16671.5,-27.776
25278.7,16639.3,-46.1375
24498.6,16676.9,-27.6679
24502.4,16682.4,-27.5538
25282.9,16652.3,-45.7656
24506.3,16688.1,-27.4371
24521.6,16709.7,-26.998
25291.3,16680.4,-44.9418
24525.5,16715.3,-26.8831
24529.3,16720.7,-26.7731
25295.3,16690.5,-44.6698
24533.2,16726.1,-26.6625
24537,16731.3,-26.5612
25299.5,16703.5,-44.2974
24552.4,16753.4,-26.1074
24556.2,16759.1,-25.9881
25307.8,16728.9,-43.5681
25970.8,16490.6,-66.6568
25972.3,16517.6,-65.7235
25973.1,16537.5,-65.0302
25974.4,16563.6,-64.124
25978.3,16587.6,-63.3489
25980.5,16624.2,-62.0849
25980.9,16634.3,-61.7321
26735.2,16611.1,-79.121
26730.5,16612,-78.9856
26746.7,16621.2,-79.0111
25982.1,16660.5,-60.8191
26757.9,16631.8,-78.8776
26738.2,16637.6,-78.2377
26765.5,16639.6,-78.7658
26760.3,16640.7,-78.6112
26769.4,16644.1,-78.6905
26726.4,16647,-77.6416
26824.1,16644.7,-79.8706
26767.8,16649,-78.4812
26771.5,16653.6,-78.3969
26835.7,16654.3,-79.7794
26706,16664.8,-76.5562
24073.9,16851.5,-12.092
24081.4,16859,-11.9849
24089,16866.8,-11.8711
24560.1,16764.6,-25.8765
24563.9,16770.1,-25.7639
25312,16741.6,-43.2046
24567.7,16774.9,-25.6735
25316.1,16753.2,-42.8786
24579.3,16792.3,-25.306
24583.1,16797.1,-25.2173
24586.9,16802.6,-25.104
24590.8,16808.1,-24.9918
25324.4,16779.9,-42.1087
24594.8,16813.8,-24.877
25328.6,16792.7,-41.7383
24610,16835.9,-24.4192
24613.8,16841,-24.3183
24617.7,16846.5,-24.2075
24621.5,16851.9,-24.0977
25337.1,16821.3,-40.9002
24625.3,16857.5,-23.9827
25341.1,16831,-40.6409
24111.6,16889.8,-11.5454
24119.2,16897.6,-11.4343
25345.2,16844.1,-40.2661
24640.6,16879.1,-23.5431
24126.7,16905.4,-11.3205
24644.6,16884.8,-23.4251
24648.4,16890.3,-23.3123
24652.2,16895.8,-23.1998
25353.6,16869.4,-39.5389
24145.5,16924.3,-11.0571
24656.1,16901.2,-23.0902
24149.3,16928.4,-10.9924
25357.7,16882.1,-39.1757
24156.9,16936.1,-10.8816
24164.5,16943.9,-10.7709
24671.4,16922.8,-22.6553
25361.8,16893.5,-38.8596
24675.3,16928.4,-22.5392
24679.1,16933.8,-22.4273
24682.9,16939.4,-22.3122
24183.2,16962.8,-10.5053
24686.6,16944.4,-22.2131
24190.7,16970.5,-10.3941
25370.2,16920.3,-38.0831
24198.3,16978.2,-10.2844
24698.4,16962.3,-21.8323
25374.4,16933.3,-37.709
24205.7,16985.5,-10.1857
24702.2,16966.7,-21.7552
24706,16972.2,-21.6426
24709.8,16977.6,-21.5326
24220.9,17001.4,-9.94868
24713.7,16983.1,-21.4208
24228.5,17009,-9.8429
24717.5,16987.7,-21.3396
25382.9,16962,-36.8662
24236,17016.7,-9.732
25386.8,16971.5,-36.6127
24243.6,17024.2,-9.62919
24729.3,17005.7,-20.9543
24732.9,17010.5,-20.8638
25391,16984.6,-36.2372
24736.7,17016,-20.7479
24258.7,17040.1,-9.39178
24740.6,17021.5,-20.6356
24266.2,17047.5,-9.29047
24744.4,17027.1,-20.5202
